course_title,course_number,instructor,location,time,enrolled,book,course_url
AMS 3 - 01   Precalculus,21723,"Garaud,P.",MWF 10:40AM-11:45AM,LEC: Soc Sci 2 075,19 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__003__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3MjMiO30%3D
AMS 5 - 01   Statistics,21727,"Mendes,B.S.",TuTh 11:40AM-01:15PM,LEC: Earth&Marine B206,209 of 210 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__005__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3MjciO30%3D
AMS 5 - 02   Statistics,21735,"Katznelson,J.R.",MWF 02:40PM-03:45PM,LEC: Earth&Marine B206,210 of 210 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__005__02,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3MzUiO30%3D
AMS 7 - 01   StatMthdsBio/Env/Hlth,21744,"Draper,D.",TuTh 11:40AM-01:15PM,LEC: J Bask Aud 101,199 of 200 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__007__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3NDQiO30%3D
AMS 7 - 02   StatMthdsBio/Env/Hlth,21750,"Mendes,B.S.",TuTh 07:10PM-08:45PM,LEC: Thim Lecture 003,22 of 200 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__007__02,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3NTAiO30%3D
AMS 7L - 01   StatMthdsBioEnvHlthLab,22728,Staff,TBA To Be Arranged,LAB: TBA,184 of 200 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__007L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3MjgiO30%3D
AMS 7L - 02   StatMthdsBioEnvHlthLab,22734,Staff,TBA To Be Arranged,LAB: TBA,27 of 200 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__007L__02,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3MzQiO30%3D
AMS 10 - 01   Math Methods I,21756,"Gomez,M.",TuTh 09:50AM-11:25AM,LEC: Thim Lecture 003,190 of 190 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__010__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3NTYiO30%3D
AMS 11A - 01   Math Methd for Econ,21566,"Mendes,B.S.",TuTh 03:20PM-04:55PM,LEC: ClassroomUnit 001,40 of 135 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__011A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE1NjYiO30%3D
AMS 11B - 01   Math Methds Econ II,21578,"Katznelson,J.R.",MWF 10:40AM-11:45AM,LEC: J Bask Aud 101,103 of 120 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__011B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE1NzgiO30%3D
